experiment,month,lead_hour,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
forecast_safe_ramp,4,22.0,40,0.10247271726667069,0.09695672530332791,-0.005515991963342776,-0.22063967853371103,4,0,4,77
forecast_safe_ramp,4,23.0,33,0.10264945866671807,0.09356761539998805,-0.009081843266730009,-0.2997008278020903,4,1,3,77
forecast_safe_ramp,4,24.0,24,0.08107044507152228,0.0722163719025256,-0.008854073168996682,-0.21249775605592036,4,1,3,77
forecast_safe_ramp,4,25.0,27,0.11528918086145842,0.11220328877080908,-0.0030858920906493316,-0.08331908644753196,1,1,0,77
forecast_safe_ramp,4,26.0,35,0.10436708665667181,0.10612996761330802,0.0017628809566362033,0.06170083348226711,2,2,0,77
forecast_safe_ramp,4,27.0,33,0.09334015620456138,0.09403307079705675,0.0006929145924953737,0.022866181552347334,1,4,-3,77
forecast_safe_ramp,4,28.0,35,0.1295023250827242,0.13061765660023023,0.0011153315175060348,0.03903660311271122,2,1,1,77
forecast_safe_ramp,4,29.0,36,0.12813140795857983,0.13028449431934638,0.002153086360766549,0.07751110898759575,2,1,1,77
forecast_safe_ramp,4,30.0,38,0.1266001037923978,0.12228330045325986,-0.004316803339137945,-0.16403852688724194,2,2,0,77
forecast_safe_ramp,4,31.0,46,0.12476476591440852,0.12348393259168988,-0.0012808333227186492,-0.05891833284505787,3,2,1,77
forecast_safe_ramp,4,32.0,55,0.11863867496649393,0.12164332788148378,0.0030046529149898604,0.1652559103244423,2,3,-1,77
forecast_safe_ramp,4,33.0,62,0.1383418257390373,0.13855881274417758,0.00021698700514029132,0.013453194318698063,4,1,3,77
forecast_safe_ramp,4,34.0,63,0.15301159402641593,0.15028063267534447,-0.002730961351071441,-0.17205056511750078,5,3,2,77
forecast_safe_ramp,4,35.0,62,0.15670859386110159,0.15079024656611292,-0.00591834729498866,-0.36693753228929693,1,2,-1,77
forecast_safe_ramp,5,12.0,77,0.11838920070187899,0.12422878440661625,0.005839583704737274,0.44964794526477014,4,4,0,77
forecast_safe_ramp,5,13.0,76,0.10846596755126836,0.1091616500963305,0.0006956825450621405,0.052871873424722673,4,7,-3,77
forecast_safe_ramp,5,14.0,77,0.11335906970739085,0.11168334724021504,-0.001675722467175802,-0.12903062997253675,2,3,-1,77
forecast_safe_ramp,5,15.0,78,0.10739711220677754,0.1058021612217813,-0.0015949509849962462,-0.1244061768297072,4,4,0,77
forecast_safe_ramp,5,16.0,75,0.09198204578150011,0.09505799032805952,0.0030759445465594164,0.23069584099195622,6,5,1,77
forecast_safe_ramp,5,17.0,74,0.11412717728490136,0.11342049600820922,-0.0007066812766921509,-0.05229441447521917,4,3,1,77
