experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
forecast_safe_ramp,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.13975886721564162,-0.0017209127272559848,-2.3283949199773475,67,74,-7,42
forecast_safe_ramp,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.11991421388624843,0.0005540544053270467,1.2682305337936097,111,97,14,42
forecast_safe_ramp,kpx_group_3,very_high_80pct_plus,712,0.2597199103888386,0.25942125835107815,-0.0002986520377604291,-0.2126402508854255,11,9,2,42
source_disagreement,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07185279257250844,0.0009975157024884696,0.21845593884497483,5,10,-5,42
source_disagreement,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.1301187786293482,0.003364379390004734,5.4200151972976265,71,84,-13,42
source_disagreement,kpx_group_1,mid_12_50pct,2319,0.11421912651372391,0.11429921848860995,8.009197488602861e-05,0.18573328976070036,87,106,-19,42
source_disagreement,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.13567938364489487,0.00035297115619411986,0.2964957712030607,35,37,-2,42
source_disagreement,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121253,0.10333192720899502,-9.2838972217518e-05,-0.020795929776724034,11,9,2,42
source_disagreement,kpx_group_2,high_50_80pct,1584,0.1304935135810534,0.13227968091553552,0.0017861673344820995,2.8292890578196457,69,81,-12,42
source_disagreement,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.13262616121035684,0.0005630277754767092,1.247106522680911,109,107,2,42
source_disagreement,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.10037532221337267,0.0007676879866010253,0.7316066512307772,37,49,-12,42
