experiment,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,gate,threshold,specialist,delta_score_vs_lead_base
deploy_high_lead_pred_ge_0.60::B1_plus_scada_wind_proxy,0.611081483205471,0.8680526693398631,0.1319473306601369,0.3541102970710788,0.5788029748971031,0.5975780211473896,14531,lead_pred,0.6,B1_plus_scada_wind_proxy,-0.0007536257460749596
deploy_boundary_specialist_pred_0.06_0.14::B1_plus_proxy_power_curve,0.6109092871298858,0.8693303594064111,0.13066964059358888,0.35248821485336035,0.5732971118401406,0.5999790163649976,14531,specialist_pred,,B1_plus_proxy_power_curve,-0.0009258218216601222
deploy_boundary_specialist_pred_0.06_0.14::B1_plus_scada_wind_proxy,0.6108634597977436,0.8693710247016933,0.13062897529830678,0.35235589489379393,0.5734032202236687,0.6000024231421999,14531,specialist_pred,,B1_plus_scada_wind_proxy,-0.0009716491538023231
deploy_high_lead_pred_ge_0.65::B1_plus_fundamental_all,0.610813945141081,0.8685240195823299,0.13147598041767006,0.3531038706998322,0.5707793047840005,0.597954723759276,14531,lead_pred,0.65,B1_plus_fundamental_all,-0.001021163810464909
deploy_boundary_specialist_pred_0.06_0.14::B1_plus_fundamental_all,0.6107279678576495,0.8692996434496816,0.13070035655031845,0.35215629226561734,0.5732117225313017,0.5999621638050181,14531,specialist_pred,,B1_plus_fundamental_all,-0.0011071410938964243
deploy_high_lead_pred_ge_0.75::B1_plus_scada_wind_proxy,0.6106590342211762,0.8691654597013796,0.1308345402986204,0.35215260874097276,0.5779255443059317,0.59810014647372,14531,lead_pred,0.75,B1_plus_scada_wind_proxy,-0.001176074730369736
deploy_high_lead_pred_ge_0.65::B1_plus_scada_wind_proxy,0.6105167141561811,0.8682656588967922,0.13173434110320778,0.35276776941557,0.5774484700214606,0.5971958201198885,14531,lead_pred,0.65,B1_plus_scada_wind_proxy,-0.0013183947953647746
deploy_high_lead_pred_ge_0.60::B1_plus_proxy_power_curve,0.6100762903890788,0.8680124231091964,0.13198757689080362,0.3521401576689614,0.5732438224291092,0.5963804777178578,14531,lead_pred,0.6,B1_plus_proxy_power_curve,-0.0017588185624670682
deploy_high_lead_pred_ge_0.75::B1_plus_fundamental_all,0.609881050543672,0.86924884857448,0.13075115142552,0.3505132525128641,0.5725360967965625,0.5971310478966119,14531,lead_pred,0.75,B1_plus_fundamental_all,-0.001954058407873882
deploy_high_lead_pred_ge_0.70::B1_plus_scada_wind_proxy,0.609771485915514,0.8687079571028358,0.13129204289716426,0.3508350147281923,0.5762103930346798,0.5966869812950508,14531,lead_pred,0.7,B1_plus_scada_wind_proxy,-0.002063623036031914
